pf,N,m,T,sigma,cut,enskog_F-CS,enskog_F-kolafa,enskog_F-thol,enskog_F-mecke,enskog_F-gottschalk,enskog_F-hess,enskog_RDF_CS,enskog_RDF_LJ,enskog_fit_F-CS,enskog_fit_F-kolafa,omega,enskog_fit_F-thol,enskog_fit_F-mecke,enskog_fit_F-gottschalk,enskog_fit_F-hess,enskog_fit_rdf-CS,enskog_fit_rdf-LJ
4.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,2.052e+00,1.802e+00,1.982e+00,1.986e+00,1.971e+00,1.419e+00,1.419e+00,1.419e+00,1.760e+00,1.484e+00,1.209e+00,1.700e+00,1.702e+00,1.695e+00,1.124e+00,3.044e+00,1.670e+00
4.200e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,1.949e+00,1.519e+00,1.814e+00,1.845e+00,1.014e+00,1.134e+00,1.134e+00,1.134e+00,1.655e+00,1.402e+00,1.133e+00,1.686e+00,1.707e+00,9.112e-01,1.002e+00,2.080e+00,8.860e-01
4.200e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.171e+00,1.787e+00,2.064e+00,2.072e+00,2.019e+00,1.320e+00,1.320e+00,1.320e+00,1.824e+00,1.483e+00,1.233e+00,1.752e+00,1.756e+00,1.719e+00,1.045e+00,2.826e+00,1.404e+00
4.200e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,2.336e+00,2.012e+00,2.247e+00,2.253e+00,2.233e+00,1.515e+00,1.515e+00,1.515e+00,2.017e+00,1.666e+00,1.209e+00,1.938e+00,1.942e+00,1.931e+00,1.203e+00,3.600e+00,1.866e+00
4.400e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.276e+00,1.725e+00,2.118e+00,2.152e+00,1.050e+00,1.221e+00,1.221e+00,1.221e+00,1.947e+00,1.602e+00,1.133e+00,1.982e+00,2.004e+00,9.415e-01,1.082e+00,2.467e+00,1.003e+00
4.400e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.501e+00,2.010e+00,2.367e+00,2.378e+00,2.311e+00,1.413e+00,1.413e+00,1.413e+00,2.116e+00,1.677e+00,1.233e+00,2.022e+00,2.028e+00,1.979e+00,1.121e+00,3.352e+00,1.579e+00
4.400e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,2.666e+00,2.249e+00,2.551e+00,2.559e+00,2.533e+00,1.616e+00,1.616e+00,1.616e+00,2.317e+00,1.873e+00,1.209e+00,2.213e+00,2.220e+00,2.203e+00,1.286e+00,4.270e+00,2.087e+00
4.600e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,2.665e+00,1.964e+00,2.476e+00,2.513e+00,1.078e+00,1.313e+00,1.313e+00,1.313e+00,2.298e+00,1.835e+00,1.133e+00,2.332e+00,2.357e+00,9.645e-01,1.166e+00,2.935e+00,1.141e+00
4.600e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,2.889e+00,2.265e+00,2.718e+00,2.732e+00,2.649e+00,1.510e+00,1.510e+00,1.510e+00,2.460e+00,1.900e+00,1.233e+00,2.336e+00,2.344e+00,2.283e+00,1.201e+00,3.987e+00,1.778e+00
4.600e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,3.051e+00,2.519e+00,2.899e+00,2.911e+00,2.878e+00,1.722e+00,1.722e+00,1.722e+00,2.668e+00,2.108e+00,1.209e+00,2.529e+00,2.539e+00,2.517e+00,1.374e+00,5.079e+00,2.335e+00
4.800e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.130e+00,2.239e+00,2.896e+00,2.937e+00,1.098e+00,1.410e+00,1.410e+00,1.410e+00,2.721e+00,2.103e+00,1.133e+00,2.747e+00,2.773e+00,9.821e-01,1.255e+00,3.501e+00,1.302e+00
4.800e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,3.345e+00,2.554e+00,3.123e+00,3.140e+00,3.040e+00,1.612e+00,1.612e+00,1.612e+00,2.869e+00,2.154e+00,1.233e+00,2.701e+00,2.711e+00,2.637e+00,1.286e+00,4.756e+00,2.004e+00
4.800e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,3.498e+00,2.823e+00,3.298e+00,3.313e+00,3.272e+00,1.834e+00,1.834e+00,1.834e+00,3.080e+00,2.374e+00,1.209e+00,2.893e+00,2.905e+00,2.878e+00,1.467e+00,6.059e+00,2.612e+00
5.000e-01,3.000e+03,1.000e+00,1.500e+00,1.000e+00,4.500e+00,3.688e+00,2.553e+00,3.388e+00,3.434e+00,1.117e+00,1.512e+00,1.512e+00,1.512e+00,3.233e+00,2.411e+00,1.133e+00,3.235e+00,3.262e+00,1.003e+00,1.348e+00,4.191e+00,1.492e+00
5.000e-01,3.000e+03,1.000e+00,2.500e+00,1.000e+00,4.500e+00,3.882e+00,2.882e+00,3.591e+00,3.610e+00,3.492e+00,1.720e+00,1.720e+00,1.720e+00,3.356e+00,2.443e+00,1.233e+00,3.123e+00,3.134e+00,3.047e+00,1.375e+00,5.694e+00,2.260e+00
5.000e-01,3.000e+03,1.000e+00,3.500e+00,1.000e+00,4.500e+00,4.021e+00,3.165e+00,3.753e+00,3.770e+00,3.722e+00,1.952e+00,1.952e+00,1.952e+00,3.565e+00,2.674e+00,1.209e+00,3.311e+00,3.323e+00,3.292e+00,1.564e+00,7.253e+00,2.917e+00
