pf, N, m, T, sigma, cut, Z, error, EOS_CS, EOS_kolafa, EOS_gottschalk, EOS_thol, EOS_mecke, EOS_hess
7.500e-02, 6.000e+03, 1.000e+00, 2.300e+00, 1.000e+00, 4.500e+00, 9.174e-01, 7.774e-03, 1.365e+00, 9.343e-01, 8.158e-01, 9.934e-01, 9.735e-01, 8.466e-01
1.000e-01, 6.000e+03, 1.000e+00, 2.300e+00, 1.000e+00, 4.500e+00, 9.042e-01, 1.274e-02, 1.521e+00, 9.476e-01, 7.790e-01, 9.926e-01, 9.996e-01, 8.425e-01
2.500e-02, 6.000e+03, 1.000e+00, 2.400e+00, 1.000e+00, 4.500e+00, 9.717e-01, 2.656e-03, 1.107e+00, 9.704e-01, 9.340e-01, 9.983e-01, 9.815e-01, 9.367e-01
5.000e-02, 6.000e+03, 1.000e+00, 2.400e+00, 1.000e+00, 4.500e+00, 9.494e-01, 4.406e-03, 1.227e+00, 9.528e-01, 8.786e-01, 9.973e-01, 9.774e-01, 8.910e-01
7.500e-02, 6.000e+03, 1.000e+00, 2.400e+00, 1.000e+00, 4.500e+00, 9.347e-01, 1.151e-02, 1.365e+00, 9.522e-01, 8.358e-01, 9.970e-01, 9.898e-01, 8.669e-01
1.000e-01, 6.000e+03, 1.000e+00, 2.400e+00, 1.000e+00, 4.500e+00, 9.328e-01, 1.310e-02, 1.521e+00, 9.712e-01, 8.062e-01, 9.974e-01, 1.021e+00, 8.694e-01
2.500e-02, 6.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 9.757e-01, 9.435e-04, 1.107e+00, 9.759e-01, 9.408e-01, 9.994e-01, 9.865e-01, 9.436e-01
5.000e-02, 6.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 9.575e-01, 3.697e-03, 1.227e+00, 9.639e-01, 8.922e-01, 9.995e-01, 9.874e-01, 9.047e-01
7.500e-02, 6.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 9.498e-01, 6.706e-03, 1.365e+00, 9.686e-01, 8.560e-01, 1.000e+00, 1.005e+00, 8.875e-01
1.000e-01, 6.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 9.566e-01, 9.297e-03, 1.521e+00, 9.928e-01, 8.333e-01, 1.002e+00, 1.041e+00, 8.965e-01
